track_id,title,artist_name,artist_location,duration,year,loudness,artist_hotttnesss,song_hotttnesss,artist_hotttnesss_band
b'TRARRZU128F4253CA2',Je Sais Que La Terre Est Plate,Raphaël,France,148.74077,2008,-9.636,0.3861516314132549,0.5479529419800353,Medium
b'TRARRJL128F92DED0E',On Efface,Julie Zenatti,,252.99546,2004,-11.061,0.43485958934341257,0.47563846801023907,Medium
b'TRARRUZ128F9307C57',Howells Delight,The Baltimore Consort,,78.0273,0,-24.14,0.0,,Low
b'TRARRWA128F42A0195',Martha Served,I Hate Sally,,163.63057,2007,-5.795,0.3345197638116389,,Medium
b'TRARRPG12903CD1DE9',Zip-A-Dee-Doo-Dah (Song of the South),Orlando Pops Orchestra,,199.99302,0,-16.477,0.3116155449734521,,Medium
b'TRARRER128F9328521',Liquid Time (composition by John Goodsall),Brand X,"Sikeston, MO",279.35302,0,-12.474,0.3636756770511417,0.4454545254934259,Medium
b'TRARRYC128F428CCDA',Misery Path (From the Privilege of Evil),Amorphis,,255.03302,0,-4.393,0.5535661720707804,0.3277366831778408,Medium
b'TRARROY128F42281F7',Nuovi Re pt. I I (feat. Tek money - Lady Tambler),Inoki,,259.3171,0,-5.05,0.44013471201542936,,Medium
b'TRARREF128F422FD96',Halloween,Dead Kennedys,,216.842,1982,-4.264,0.5392454183492504,0.7883881833222074,Medium
b'TRARRVB128F92F47CA',Parto em terras distantes,Brigada Victor Jara,,312.99873,1998,-13.885,0.3581485188029746,,Medium
b'TRARRQO128F427B5F5',You Eclipsed By Me (Album Version),Atreyu,"Orange County, CA",218.90567,2004,-4.707,0.5924394855278091,0.6810920295819312,Medium
b'TRARRMK12903CDF793',Shovel,Mistress,Mass. - Boston,580.70159,2005,-4.523,0.3894988174170211,0.40148671142756037,Medium
b'TRARUOP12903CF2384',What Drives The Weak,Shadows Fall,"Boston, MA",283.48036,2004,-4.076,0.455558796992588,0.6878737149731753,Medium
b'TRARURM128F931A91B',Life Force,Vanessa Daou,,229.66812,0,-19.293,0.40358823765010066,0.26695518627553855,Medium
b'TRARUDQ128F934B0ED',The Dance Of Europe,Dave Brockie Experience,,135.8624,2001,-3.312,0.33593551225154833,0.3552855364230894,Medium
b'TRARUHU128F92FDC00',Spoonie Is Back,Spoonie Gee,"New York, NY",393.63873,0,-6.619,0.42272137011677613,0.5435242770791181,Medium
b'TRARUFE128F92F5D21',Blood Round Dance Song (World),R. Carlos Nakai,,146.33751,1982,-25.651,0.37693998444161575,0.21508031850922793,Medium
b'TRARUTP128E0797FC7',Crawling (Album Version),Linkin Park,"Los Angeles, CA",208.95302,2000,-6.052,0.7911430023895633,0.8722290226088538,High
b'TRARUYJ128F9316C65',Bennie,Koffi Olomidé,,625.78893,0,-7.164,0.31161748493154134,,Medium
b'TRARITF12903CE7DA9',Playa del sous-sol,Alain-François,,172.01587,0,-5.704,0.30091842861713314,,Medium
b'TRARIGL128F422B9CE',Fascinating Rhythm (Instrumental) (2007 Digital Remaster),Billy May & His Orchestra,,312.92036,0,-10.703,0.39046557975011453,,Medium
b'TRARIRG128F147FC96',I'm Not Moving,Phil Collins,"Chiswick, London, England",154.93179,1981,-15.433,0.5783016335967479,0.5968407035530287,Medium
b'TRARIMG128F931B45A',Grand Frère,Philippe Sarde,"Neuilly-sur-Seine, France",528.22159,0,-23.178,0.34369744996261,,Medium
b'TRARIPU128F92FA1E1',Up Above My Head,Sister Rosetta Tharpe & Marie,"Cotton Plant, AR",146.80771,2004,-7.386,0.36035044785399334,,Medium
b'TRARIWH128E079349F',Columbia,Oasis,"Manchester, England",324.80608,0,-7.588,0.5533936630558898,,Medium
b'TRARIIY128F147187D',Radar For Love,Kiss,"New York, NY",241.08363,0,-8.021,0.5867299132778079,0.5384224029706356,Medium
b'TRARIZK128F92FF27A',Antarctica Starts Here,John Cale,"Garnant, Wales",199.96689,1973,-20.172,0.48165586241245567,,Medium
b'TRARINE128F4280B9C',Out In The Street (Live) (2008 Digital Remaster),UFO,Arizona,314.17424,0,-6.763,0.4533990832902461,,Medium
b'TRARIMP128F933D217',Heavy On My Mind (Album Version),Back Door Slam,CANADA - Ontario,319.84281,2007,-4.325,0.411545813621729,0.6248335335556564,Medium
b'TRARIKA128F9335A8C',Everyone make love,Cool cavemen,"Lille, France",234.762,0,-5.976,0.22879205843535128,,Low
b'TRARNCP128F42AB2B0',Calm Da Seas,Dave Hollister,LOWELL,258.16771,2008,-5.193,0.45966046322159376,0.42744657148843085,Medium
b'TRARNJN12903CE49F8',Ran Kan Kan,Nestor Torres,"Miami, FL",191.63383,0,-5.648,0.3531562974667231,0.2652136277654528,Medium
b'TRARNAS128EF355915',I Found You,The Impressions,United States,207.35955,1963,-16.489,0.4102474074764877,,Medium
b'TRARNIL12903C9A9C8',Afraid Of Change (Tribal Vocal Mix),Casa Bulga,,401.24036,2003,-7.327,0.0,,Low
b'TRARNKQ12903CE7299',Grow Up_ Grow Old,Debbie Davies,"Los Angeles, CA",283.79383,0,-7.961,0.3431334973952383,0.3347065490692206,Medium
